name,birth_year,death_year,primary_region,role,mechanism_template,regions_affected,effect_window_start,effect_window_end,strength,depth_tier,confidence,sources
Vladimir of Kiev,958,1015,"[""Eastern Europe & Russia""]",Baptizer of the Rus,INSTITUTIONAL,"[""Eastern Europe & Russia""]",988,1015,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Thomas Aquinas,1225,1274,"[""Western Europe""]",Synthesizer of faith and reason,THEOLOGICAL,"[""Western Europe""]",1265,1274,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Martin Luther,1483,1546,"[""Western Europe""]","Reformer; sola fide, sola scriptura",THEOLOGICAL,"[""Western Europe""]",1517,1546,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
William Tyndale,1494,1536,"[""Western Europe""]",Translator of the English Bible,TRANSLATION,"[""Western Europe"", ""North America""]",1525,1536,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Calvin,1509,1564,"[""Western Europe""]",Reformer of Geneva,THEOLOGICAL,"[""Western Europe"", ""North America""]",1536,1564,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Ignatius of Loyola,1491,1556,"[""Western Europe""]",Founder of the Jesuits,INSTITUTIONAL,"[""GLOBAL""]",1540,1556,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Polycarp of Smyrna,69,155,"[""Roman/Mediterranean""]",Bishop and martyr,MARTYRDOM,"[""Roman/Mediterranean""]",155,156,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Jonathan Edwards,1703,1758,"[""North America""]",Preacher of the Great Awakening,REVIVAL,"[""North America""]",1734,1758,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Wesley,1703,1791,"[""Western Europe"", ""North America""]",Founder of Methodism,REVIVAL,"[""Western Europe"", ""North America""]",1738,1791,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Count Zinzendorf,1700,1760,"[""Western Europe""]",Leader of the Moravian missions,REVIVAL,"[""GLOBAL""]",1727,1760,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
William Carey,1761,1834,"[""South Asia""]",Father of modern missions,TRANSLATION,"[""South Asia""]",1793,1834,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
William J. Seymour,1870,1922,"[""North America""]",Leader of the Azusa Street Revival,REVIVAL,"[""GLOBAL""]",1906,1922,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Mother Teresa,1910,1997,"[""South Asia""]",Servant of the poorest,INSTITUTIONAL,"[""GLOBAL""]",1950,1997,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Billy Graham,1918,2018,"[""North America""]",Evangelist to the nations,REVIVAL,"[""GLOBAL""]",1949,2005,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Pope John Paul II,1920,2005,"[""Eastern Europe & Russia""]",Pope of the global church,INSTITUTIONAL,"[""GLOBAL""]",1978,2005,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Justin Martyr,100,165,"[""Roman/Mediterranean""]",Philosopher-apologist,THEOLOGICAL,"[""Roman/Mediterranean""]",150,165,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Irenaeus of Lyons,130,202,"[""Western Europe"", ""Roman/Mediterranean""]",Opponent of Gnosticism,THEOLOGICAL,"[""Western Europe""]",180,202,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Origen of Alexandria,184,253,"[""Middle East & North Africa""]",Biblical scholar,THEOLOGICAL,"[""Roman/Mediterranean""]",220,253,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Perpetua and Felicity,181,203,"[""Middle East & North Africa""]",Martyrs of Carthage,MARTYRDOM,"[""Roman/Mediterranean"", ""Middle East & North Africa""]",203,204,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Diocletian,244,311,"[""Roman/Mediterranean""]",Emperor of the Great Persecution,SUPPRESSION,"[""Roman/Mediterranean""]",303,311,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Anthony the Great,251,356,"[""Middle East & North Africa""]",Father of desert monasticism,INSTITUTIONAL,"[""Middle East & North Africa""]",270,356,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Jerome,342,420,"[""Roman/Mediterranean""]",Translator of the Latin Vulgate,TRANSLATION,"[""Western Europe""]",382,420,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Chrysostom,349,407,"[""Eastern Europe & Russia"", ""Middle East & North Africa""]",Golden-mouthed preacher,THEOLOGICAL,"[""Roman/Mediterranean""]",386,407,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Patrick of Ireland,385,461,"[""Western Europe""]",Apostle of Ireland,APOSTOLIC_PROPAGATION,"[""Western Europe""]",432,461,4,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Columba,521,597,"[""Western Europe""]",Missionary of Iona,APOSTOLIC_PROPAGATION,"[""Western Europe""]",563,597,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Alopen,,,"[""East Asia""]",First missionary to China (Nestorian),APOSTOLIC_PROPAGATION,"[""East Asia""]",635,650,3,Tier 2,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Boniface,675,754,"[""Western Europe""]",Apostle of the Germans,APOSTOLIC_PROPAGATION,"[""Western Europe""]",716,754,4,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Charlemagne,748,814,"[""Western Europe""]",Emperor who Christianized by sword and school,INSTITUTIONAL,"[""Western Europe""]",768,814,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Anselm of Canterbury,1033,1109,"[""Western Europe""]",Father of scholasticism,THEOLOGICAL,"[""Western Europe""]",1078,1109,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Francis of Assisi,1181,1226,"[""Western Europe""]",Reformer of poverty and joy,REVIVAL,"[""Western Europe""]",1209,1226,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Dominic de Guzmán,1170,1221,"[""Western Europe""]",Founder of the Order of Preachers,INSTITUTIONAL,"[""Western Europe""]",1216,1221,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Wycliffe,1328,1384,"[""Western Europe""]",Morning star of the Reformation,TRANSLATION,"[""Western Europe""]",1382,1384,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Jan Hus,1369,1415,"[""Eastern Europe & Russia""]",Bohemian reformer and martyr,MARTYRDOM,"[""Eastern Europe & Russia""]",1402,1415,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Erasmus of Rotterdam,1466,1536,"[""Western Europe""]",Editor of the Greek New Testament,TRANSLATION,"[""Western Europe""]",1516,1536,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Ulrich Zwingli,1484,1531,"[""Western Europe""]",Reformer of Zürich,THEOLOGICAL,"[""Western Europe""]",1519,1531,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Thomas Cranmer,1489,1556,"[""Western Europe""]",Architect of the English Prayer Book,INSTITUTIONAL,"[""Western Europe""]",1533,1556,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Teresa of Ávila,1515,1582,"[""Western Europe""]",Mystic and reformer of Carmel,REVIVAL,"[""Western Europe""]",1560,1582,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Francis Xavier,1506,1552,"[""East Asia"", ""Southeast Asia"", ""South Asia""]",Apostle of the East Indies,APOSTOLIC_PROPAGATION,"[""East Asia"", ""Southeast Asia"", ""South Asia""]",1541,1552,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
The Twelve Apostles of Mexico,,,"[""Latin America""]",Franciscan founders of the Mexican church,APOSTOLIC_PROPAGATION,"[""Latin America""]",1524,1560,4,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Bartolomé de las Casas,1484,1566,"[""Latin America""]",Defender of the indigenous,INSTITUTIONAL,"[""Latin America""]",1514,1566,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Matteo Ricci,1552,1610,"[""East Asia""]",Jesuit bridge to China,APOSTOLIC_PROPAGATION,"[""East Asia""]",1582,1610,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Knox,1514,1572,"[""Western Europe""]",Reformer of Scotland,THEOLOGICAL,"[""Western Europe""]",1559,1572,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
George Whitefield,1714,1770,"[""North America"", ""Western Europe""]",Itinerant of the Awakening,REVIVAL,"[""North America"", ""Western Europe""]",1740,1770,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
David Brainerd,1718,1747,"[""North America""]",Missionary to the Delaware,APOSTOLIC_PROPAGATION,"[""North America""]",1743,1747,2,Tier 2,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Adoniram Judson,1788,1850,"[""Southeast Asia""]",Translator of the Burmese Bible,TRANSLATION,"[""Southeast Asia""]",1813,1850,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
William Wilberforce,1759,1833,"[""Western Europe""]",Christian abolitionist,INSTITUTIONAL,"[""Western Europe""]",1787,1833,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
David Livingstone,1813,1873,"[""Sub-Saharan Africa""]",Missionary-explorer of Africa,APOSTOLIC_PROPAGATION,"[""Sub-Saharan Africa""]",1841,1873,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Hudson Taylor,1832,1905,"[""East Asia""]",Founder of the China Inland Mission,APOSTOLIC_PROPAGATION,"[""East Asia""]",1854,1905,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Samuel Ajayi Crowther,1809,1891,"[""Sub-Saharan Africa""]",First African Anglican bishop,TRANSLATION,"[""Sub-Saharan Africa""]",1843,1891,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Charles Spurgeon,1834,1892,"[""Western Europe""]",Prince of preachers,REVIVAL,"[""Western Europe""]",1854,1892,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Dwight L. Moody,1837,1899,"[""North America""]",Mass-revival evangelist,REVIVAL,"[""North America"", ""Western Europe""]",1870,1899,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Karl Barth,1886,1968,"[""Western Europe""]",Theologian of the Word,THEOLOGICAL,"[""Western Europe"", ""North America""]",1919,1968,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Dietrich Bonhoeffer,1906,1945,"[""Western Europe""]",Martyr against Nazism,MARTYRDOM,"[""Western Europe""]",1943,1945,3,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
C. S. Lewis,1898,1963,"[""Western Europe""]",Apologist of mere Christianity,THEOLOGICAL,"[""Western Europe"", ""North America""]",1940,1963,4,Tier 2,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Watchman Nee,1903,1972,"[""East Asia""]",Builder of the indigenous Chinese church,INSTITUTIONAL,"[""East Asia""]",1928,1972,3,Tier 2,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Clement of Rome,35,99,"[""Roman/Mediterranean""]",Early bishop of Rome,THEOLOGICAL,"[""Roman/Mediterranean""]",88,99,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Ignatius of Antioch,35,108,"[""Middle East & North Africa""]",Bishop and martyr,MARTYRDOM,"[""Roman/Mediterranean""]",107,108,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Tertullian,155,220,"[""Middle East & North Africa""]",Latin apologist,THEOLOGICAL,"[""Roman/Mediterranean""]",197,220,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Cyprian of Carthage,200,258,"[""Middle East & North Africa""]",Bishop and martyr,MARTYRDOM,"[""Roman/Mediterranean""]",248,258,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Julian the Apostate,331,363,"[""Roman/Mediterranean""]",Emperor who tried to restore paganism,SUPPRESSION,"[""Roman/Mediterranean""]",361,363,2,Tier 3,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Basil of Caesarea,330,379,"[""Eastern Europe & Russia""]",Cappadocian father,INSTITUTIONAL,"[""Roman/Mediterranean""]",370,379,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Gregory of Nyssa,335,395,"[""Eastern Europe & Russia""]",Cappadocian theologian,THEOLOGICAL,"[""Roman/Mediterranean""]",372,395,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Ambrose of Milan,339,397,"[""Western Europe""]",Bishop who taught Augustine,INSTITUTIONAL,"[""Western Europe""]",374,397,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Leo the Great,400,461,"[""Roman/Mediterranean""]",Pope who defined Chalcedon,INSTITUTIONAL,"[""Roman/Mediterranean""]",440,461,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John of Damascus,675,749,"[""Middle East & North Africa""]",Last of the Greek fathers,THEOLOGICAL,"[""Middle East & North Africa""]",726,749,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
The Venerable Bede,672,735,"[""Western Europe""]",Historian of English Christianity,THEOLOGICAL,"[""Western Europe""]",700,735,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Anskar,801,865,"[""Western Europe""]",Apostle of the North,APOSTOLIC_PROPAGATION,"[""Western Europe""]",829,865,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Olga of Kiev,890,969,"[""Eastern Europe & Russia""]",First Christian Rus ruler,INSTITUTIONAL,"[""Eastern Europe & Russia""]",957,969,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Stephen of Hungary,975,1038,"[""Eastern Europe & Russia""]",Christianizer of Hungary,INSTITUTIONAL,"[""Eastern Europe & Russia""]",1000,1038,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Bernard of Clairvaux,1090,1153,"[""Western Europe""]",Cistercian reformer,REVIVAL,"[""Western Europe""]",1115,1153,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Catherine of Siena,1347,1380,"[""Western Europe""]",Mystic and reformer,REVIVAL,"[""Western Europe""]",1366,1380,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Julian of Norwich,1343,1416,"[""Western Europe""]",English mystic,THEOLOGICAL,"[""Western Europe""]",1373,1416,1,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Girolamo Savonarola,1452,1498,"[""Western Europe""]",Florentine reform-preacher,REVIVAL,"[""Western Europe""]",1494,1498,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Philipp Melanchthon,1497,1560,"[""Western Europe""]",Systematizer of Lutheran theology,THEOLOGICAL,"[""Western Europe""]",1521,1560,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Menno Simons,1496,1561,"[""Western Europe""]",Anabaptist leader,THEOLOGICAL,"[""Western Europe"", ""North America""]",1536,1561,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Roberto de Nobili,1577,1656,"[""South Asia""]",Inculturating missionary in India,APOSTOLIC_PROPAGATION,"[""South Asia""]",1605,1656,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Eliot,1604,1690,"[""North America""]",Translator of the Algonquin Bible,TRANSLATION,"[""North America""]",1640,1690,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
George Fox,1624,1691,"[""Western Europe""]",Founder of the Quakers,REVIVAL,"[""Western Europe"", ""North America""]",1647,1691,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Philipp Spener,1635,1705,"[""Western Europe""]",Father of Pietism,REVIVAL,"[""Western Europe""]",1675,1705,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Charles Wesley,1707,1788,"[""Western Europe""]",Hymn-writer of the revival,REVIVAL,"[""Western Europe"", ""North America""]",1738,1788,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Francis Asbury,1745,1816,"[""North America""]",Father of American Methodism,INSTITUTIONAL,"[""North America""]",1771,1816,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Charles Finney,1792,1875,"[""North America""]",Revivalist of the Second Awakening,REVIVAL,"[""North America""]",1821,1875,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Robert Morrison,1782,1834,"[""East Asia""]",First Protestant Bible in Chinese,TRANSLATION,"[""East Asia""]",1807,1834,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Lottie Moon,1840,1912,"[""East Asia""]",Missionary to China,APOSTOLIC_PROPAGATION,"[""East Asia""]",1873,1912,1,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Amy Carmichael,1867,1951,"[""South Asia""]",Rescuer of temple children,INSTITUTIONAL,"[""South Asia""]",1901,1951,1,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Sundar Singh,1889,1929,"[""South Asia""]",Indian sadhu evangelist,APOSTOLIC_PROPAGATION,"[""South Asia""]",1905,1929,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
John Sung,1901,1944,"[""East Asia"", ""Southeast Asia""]",Revivalist of the Chinese diaspora,REVIVAL,"[""East Asia"", ""Southeast Asia""]",1927,1944,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Aimee Semple McPherson,1890,1944,"[""North America""]",Pentecostal mass-evangelist,REVIVAL,"[""North America""]",1918,1944,1,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Simon Kimbangu,1887,1951,"[""Sub-Saharan Africa""]",Founder of an African church,REVIVAL,"[""Sub-Saharan Africa""]",1921,1951,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Festo Kivengere,1919,1988,"[""Sub-Saharan Africa""]",Voice of the East African Revival,REVIVAL,"[""Sub-Saharan Africa""]",1970,1988,2,Tier 3,Low,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
